          Lambda           Fluxo     Sigma Fluxo
       1000.0000      9.2145E-07      1.1358E-07
       1318.2563      9.6703E-06      1.5461E-06
       1737.8009      5.6979E-05      8.0277E-06
       2290.8672      1.3043E-04      2.0075E-05
       3019.9519      1.8788E-04      2.8910E-05
       3981.0708      1.6865E-04      2.7559E-05
       5248.0747      1.4918E-04      1.9406E-05
       6918.3120      7.4285E-05      1.0991E-05
       9120.1094      3.9868E-05      5.3369E-06
      12022.6426      1.1416E-05      2.3259E-06
      15848.9248      5.7790E-06      9.4031E-07
      20892.9473      2.3535E-06      3.8169E-07
      27542.2910      2.3790E-06      3.2308E-07
      36307.8008      4.4040E-06      7.4826E-07
      47863.0430      9.3239E-06      1.3663E-06
      63095.7617      1.1452E-05      1.6035E-06
      83176.3906      9.3717E-06      1.3199E-06
     109647.8125      6.1552E-06      8.3655E-07
     144543.9219      2.5822E-06      4.3982E-07
     190545.9531      1.5567E-06      2.0269E-07
     251188.7031      5.2351E-07      8.5154E-08
     331131.0938      2.4055E-07      3.3517E-08
     436515.6875      9.1858E-08      1.2595E-08
     575440.2500      3.6133E-08      4.5785E-09
     758577.7500      1.1147E-08      1.6247E-09
